timestamp,day,count
2023-01-05 18:00:02.206696,2023-01-06,0
2023-01-05 18:00:02.206696,2023-01-01,3
2023-01-06 18:00:01.881658,2023-01-07,0
2023-01-07 11:00:02.185661,2023-01-06,1
2023-01-07 11:00:02.185661,2023-01-02,3
2023-01-07 23:00:02.519226,2023-01-08,0
2023-01-09 01:00:01.973858,2023-01-09,0
2023-01-09 01:00:01.973858,2023-01-07,1
2023-01-09 18:00:02.042655,2023-01-10,0
2023-01-09 18:00:02.042655,2023-01-09,2
2023-01-10 18:00:02.458674,2023-01-11,0
2023-01-10 18:00:02.458674,2023-01-10,2
2023-01-10 18:00:02.458674,2023-01-09,3
2023-01-11 19:00:02.162834,2023-01-12,0
2023-01-11 19:00:02.162834,2023-01-11,3
2023-01-11 19:00:02.162834,2023-01-10,4
2023-01-12 19:00:02.041092,2023-01-13,0
2023-01-12 19:00:02.041092,2023-01-12,1
2023-01-12 19:00:02.041092,2023-01-11,4
2023-01-13 18:00:01.715415,2023-01-14,0
2023-01-13 18:00:01.715415,2023-01-12,2
2023-01-14 16:00:02.402598,2023-01-14,1
2023-01-14 16:00:02.402598,2023-01-13,1
2023-01-15 01:00:01.889911,2023-01-15,0
2023-01-15 14:00:01.641842,2023-01-15,1
2023-01-16 01:00:01.992820,2023-01-15,3
2023-01-16 18:00:02.097862,2023-01-17,0
2023-01-16 18:00:02.097862,2023-01-16,2
2023-01-16 18:00:02.097862,2023-01-15,4
2023-01-17 18:00:01.665991,2023-01-18,0
2023-01-18 18:00:01.757347,2023-01-19,0
2023-01-19 18:00:02.233046,2023-01-20,0
2023-01-19 18:00:02.233046,2023-01-19,1
2023-01-20 19:00:02.119109,2023-01-21,0
2023-01-20 19:00:02.119109,2023-01-20,1
2023-01-22 01:00:02.501436,2023-01-22,0
2023-01-22 01:00:02.501436,2023-01-21,1
2023-01-22 01:00:02.501436,2023-01-20,2
2023-01-22 20:00:02.541279,2023-01-23,0
2023-01-23 17:00:02.535109,2023-01-23,1
2023-01-23 18:00:01.661425,2023-01-24,0
2023-01-24 01:00:02.228090,2023-01-23,2
2023-01-24 19:00:02.345093,2023-01-25,0
2023-01-25 16:00:02.253089,2023-01-24,1
2023-01-25 18:00:02.237487,2023-01-26,0
2023-01-25 18:00:02.237487,2023-01-25,2
2023-01-25 18:00:02.237487,2023-01-23,3
2023-01-25 18:00:02.237487,2023-01-22,1
2023-01-26 18:00:02.335178,2023-01-27,0
2023-01-26 18:00:02.335178,2023-01-26,2
2023-01-27 18:00:01.764304,2023-01-28,0
2023-01-29 01:00:01.944107,2023-01-29,0
2023-01-29 01:00:01.944107,2023-01-28,1
2023-01-29 21:00:01.706368,2023-01-30,0
2023-01-30 18:00:02.241415,2023-01-31,0
2023-01-30 18:00:02.241415,2023-01-30,1
2023-01-30 18:00:02.241415,2023-01-29,1
2023-01-30 18:00:02.241415,2023-01-28,2
2023-01-30 18:00:02.241415,2023-01-27,1
2023-01-31 18:00:02.268694,2023-02-01,0
2023-01-31 18:00:02.268694,2023-01-31,1
2023-02-01 18:00:02.419360,2023-02-02,0
2023-02-01 18:00:02.419360,2023-01-31,2
2023-02-02 18:00:01.667309,2023-02-03,0
